source,pitch_std,mean_wpm
[앵커의 마침표]불신 자초하는 땜질 처방 ⧸ 채널A ⧸ 뉴스A [asKrWKrpvfY].wav,66.618,122.60889214287228
[앵커의 마침표]분열 멈추고 통일로 ｜ 뉴스A [aKOIWo7P0q0].wav,49.815,92.42779207444298
"[앵커의 마침표]북, 오판하면 자멸이다 ｜ 뉴스A [7VK8UZvrd7o].wav",55.872,99.99598747024962
[앵커의 마침표]부질없는 힘자랑 ｜ 뉴스A [0-oia6B-9fY].wav,63.286,140.47761575542563
[앵커의 마침표]부업 교사 OUT ⧸ 채널A ⧸ 뉴스A [PkUMgO55li8].wav,64.567,109.35621944664646
[앵커의 마침표]부끄러움을 모른다 ｜ 뉴스A [kPP79yWxytg].wav,70.67,111.5940568984171
[앵커의 마침표]부끄러운 사람이 되지 말라 ⧸ 채널A ⧸ 뉴스A [W3cToDyLthA].wav,64.46,114.7049335214477
[앵커의 마침표]부끄러운 분열의 시대 ⧸ 채널A ⧸ 뉴스A [Fy9p01rrfUs].wav,56.637,168.10652934803807
[앵커의 마침표]빈틈없이 ⧸ 채널A ⧸ 특집 뉴스A [9QiXVOkbfNU].wav,57.985,158.03120626499836
[앵커의 마침표]비핵화 타협 없다 ⧸ 채널A ⧸ 뉴스A [k4HUZ3-I3jU].wav,72.072,118.8861078378535
[앵커의 마침표]비정상 자인한 폭파쇼 ⧸ 채널A ⧸ 뉴스A [O_H5XE8KZmM].wav,70.912,127.58790895040008
[앵커의 마침표]비어가는 나라곳간 ⧸ 채널A ⧸ 뉴스A [wtKgP220u6w].wav,70.484,160.78258292187897
[앵커의 마침표]비상하는 푸른 용처럼 ｜ 뉴스A [HQyqgu0T2_8].wav,63.765,124.64039456421004
"[앵커의 마침표]블랙홀 없는 정치, 증명하길 ⧸ 채널A ⧸ 뉴스A [XZtvaJIYTNg].wav",64.573,118.67160330655987
[앵커의 마침표]사회 첫발부터 좌절 ｜ 뉴스A [3reb8HM-Uvc].wav,62.611,131.4115145487656
[앵커의 마침표]사사로움 없이 공명정대하게 ｜ 뉴스A [rcNPKWD2Zms].wav,57.967,115.58780903258976
[앵커의 마침표]사법 혼란 해소해야 ⧸ 채널A ⧸ 뉴스A [fMJgGCc6TTo].wav,69.844,118.66068005518504
[앵커의 마침표]사과는 있어도 반성은 없다 ｜ 뉴스A [nUf8HuLNQqc].wav,66.676,125.32574787253316
[앵커의 마침표]삐딱한 것도 정도껏 ｜ 뉴스A [tA06xG8Yn0s].wav,66.457,142.78992842453343
[앵커의 마침표]선수단 여러분 고맙습니다 ｜ 뉴스A [n-Gfp4NfcW0].wav,60.262,107.92775826920004
[앵커의 마침표]선관위의 굴욕 ｜ 뉴스A [dR_lAeWOC3Y].wav,65.403,111.44357763013592
[앵커의 마침표]선관위가 망친 민주주의 축제 ｜ 뉴스A [6-D-tyRVEZI].wav,58.921,103.29034142546678
[앵커의 마침표]선거용 이중잣대 ｜ 뉴스A [-b9c7FsHJX0].wav,64.693,95.54219532148672
[앵커의 마침표]색출은 반민주 ｜ 뉴스A [s4Ho4bESIfM].wav,63.981,117.32312218470712
[앵커의 마침표]산 넘어 산 ⧸ 채널A ⧸ 뉴스A [Tn286wBnUMc].wav,63.446,139.28846035041624
[앵커의 마침표]설날은 Seollal ｜ 뉴스A [ltFn2CkN25I].wav,71.037,111.69355714916964
